author_id,goal_slug,title,description,difficulty,diet_type,meal_type,meal_time,prep_time,cook_time,servings,instructions,ingredients,image_url,video_url
1,weight-loss,Wellness Boost 1 for Weight Loss,A healthy recipe designed to support weight loss.,easy,balanced,dinner,noon,12,4,3,1. Prepare ingredients. 2. Combine and serve.,raspberries-raw:38;hemp-seeds:37;tomato-fresh:53,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg,
1,weight-loss,Wellness Boost 2 for Weight Loss,A healthy recipe designed to support weight loss.,easy,high-protein,breakfast,noon,18,7,2,1. Prepare ingredients. 2. Combine and serve.,almonds-raw:101;chicken-breast:69;olive-oil:85;tomato-fresh:116;spinach-raw:56,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg,
1,weight-loss,Wellness Boost 3 for Weight Loss,A healthy recipe designed to support weight loss.,easy,paleo,breakfast,evening,16,19,2,1. Prepare ingredients. 2. Combine and serve.,chickpeas-cooked:126;raspberries-raw:50;chia-seeds:171,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg,
1,weight-loss,Wellness Boost 4 for Weight Loss,A healthy recipe designed to support weight loss.,medium,vegan,lunch,morning,6,21,1,1. Prepare ingredients. 2. Combine and serve.,hemp-seeds:101;strawberries-raw:146;chia-seeds:192;cucumber-fresh:123,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg,
1,weight-loss,Wellness Boost 5 for Weight Loss,A healthy recipe designed to support weight loss.,easy,vegan,dinner,noon,13,22,3,1. Prepare ingredients. 2. Combine and serve.,hemp-seeds:148;olive-oil:127;raspberries-raw:99;strawberries-raw:193;rolled-oats:172,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg,
1,weight-loss,Wellness Boost 6 for Weight Loss,A healthy recipe designed to support weight loss.,easy,vegan,breakfast,noon,6,25,2,1. Prepare ingredients. 2. Combine and serve.,almonds-raw:84;hemp-seeds:197;blueberries-raw:157;spinach-raw:131,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg,
1,weight-loss,Wellness Boost 7 for Weight Loss,A healthy recipe designed to support weight loss.,medium,high-protein,dinner,noon,12,23,3,1. Prepare ingredients. 2. Combine and serve.,almonds-raw:86;rolled-oats:65;tomato-fresh:160;cucumber-fresh:156;quinoa-cooked:53,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg,
1,weight-loss,Wellness Boost 8 for Weight Loss,A healthy recipe designed to support weight loss.,easy,balanced,lunch,noon,18,19,1,1. Prepare ingredients. 2. Combine and serve.,cucumber-fresh:171;chickpeas-cooked:32;flax-seeds:59;almonds-raw:167,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg,
1,weight-loss,Wellness Boost 9 for Weight Loss,A healthy recipe designed to support weight loss.,medium,vegan,breakfast,evening,18,5,2,1. Prepare ingredients. 2. Combine and serve.,almonds-raw:159;flax-seeds:57;olive-oil:190,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg,
1,weight-loss,Wellness Boost 10 for Weight Loss,A healthy recipe designed to support weight loss.,medium,high-protein,lunch,evening,10,17,3,1. Prepare ingredients. 2. Combine and serve.,whey-protein-isolate:34;spinach-raw:58;yogurt-plain:122,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg,
